B,name,type,remote,parking_area_m2,vehicle_predominant,ev_ready_share,ev_area_budget_m2,ev_area_required_m2,ev_area_utilization_pct,current_ev_fleet_assumption,sizing_policy,motos_daily,mototaxis_daily,camionetas_daily,raw_moto_stalls,raw_mototaxi_stalls,raw_cam_stalls,moto_pe,mototaxi_pe,camioneta_pe,moto_fc,mototaxi_fc,camioneta_fc,moto_soc_charge_h,mototaxi_soc_charge_h,camioneta_soc_charge_h,moto_ev_daily_scenario,mototaxi_ev_daily_scenario,camioneta_ev_daily_scenario,moto_concurrent_charging,mototaxi_concurrent_charging,camioneta_concurrent_charging,n_moto_stalls,n_mototaxi_stalls,n_cam_stalls,total_chargers,ev_pool_size_per_charger,electric_vehicle_pool_count,mode3_physical_units,mode3_socket_count,mode3_spare_sockets,total_kw,parking_capped
1,Electro Oriente S.A.,institucional,False,1350.0,Mixed_Motos_Trucks,0.18,243.0,60.0,24.691358024691358,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",20,5,5,1,1,2,0.5,0.7,0.65,0.466,0.577,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,10.0,3.5,3.25,0.4496491228070177,0.18733519736842102,0.9500355618776671,1,1,2,4,10,40,2,4,0,21.8,False
2,Municipalidad Distrital San Juan Bautista,deportivo,False,900.0,Motos_Motokars,0.18,162.0,47.5,29.32098765432099,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",80,30,2,3,2,1,0.5,0.7,0.65,0.466,0.577,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,40.0,21.0,1.3,1.4388771929824566,0.899208947368421,0.30401137980085347,3,2,1,6,10,60,3,6,0,24.4,False
3,Aeropuerto Internacional de Iquitos,transporte_24h,False,5500.0,Motos_Taxis_Buses,0.22,1210.0,90.0,7.43801652892562,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",40,180,8,1,5,2,0.5,0.7,0.65,0.466,0.577,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,20.0,125.99999999999999,5.2,0.4496491228070177,3.372033552631578,0.7600284495021337,1,5,2,8,10,80,4,8,0,37.8,False
4,Hipermercados Tottus Oriente,retail,False,2500.0,Motos_Cars,0.2,500.0,47.5,9.5,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",150,60,3,3,2,1,0.5,0.7,0.65,0.466,0.577,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,75.0,42.0,1.9500000000000002,1.927067669172933,1.2845842105263157,0.3257264783580573,3,2,1,6,10,60,3,6,0,24.4,False
5,Hotel Plaza S.A.,hotelero,False,200.0,Motos_Cars,0.18,36.0,35.0,97.22222222222221,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",8,15,4,1,1,1,0.5,0.7,0.65,0.466,0.577,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,4.0,10.5,2.6,0.05995321637426903,0.18733519736842105,0.2533428165007112,1,1,1,3,10,30,2,4,1,14.4,False
6,Mall Aventura Iquitos,mall,False,9000.0,Motos_Motokars_Massive,0.22,1980.0,200.0,10.1010101010101,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",930,150,20,22,6,4,0.5,0.7,0.65,0.466,0.577,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,465.0,105.0,13.0,15.206315789473688,4.0873133971291855,2.763739816371395,22,6,4,32,10,320,16,32,0,119.60000000000002,False
7,UNAP Facultad de Biologia,universitario,True,1250.0,Motos_Students,0.34,425.00000000000006,242.5,57.05882352941176,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",500,200,10,25,14,3,0.5,0.7,0.65,0.932,0.963,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,250.0,140.0,6.5,17.985964912280707,10.005063157894735,1.5200568990042673,25,14,3,42,10,420,21,42,0,153.20000000000002,False
8,PNP Escuela Tecnica Superior Iquitos,militar,True,3000.0,Military_Vehicles,0.32,960.0,157.5,16.40625,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",150,60,15,8,5,4,0.5,0.7,0.65,0.932,0.963,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,75.0,42.0,9.75,5.3957894736842125,3.001518947368421,2.280085348506401,8,5,4,17,10,170,9,18,1,73.60000000000001,False
9,Gobierno Regional Loreto COER,deportivo,False,1500.0,Emergency_Trucks,0.18,270.0,62.5,23.14814814814815,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",120,40,2,6,3,1,0.5,0.7,0.65,0.466,0.577,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,60.0,28.0,1.3,3.597192982456141,1.9982421052631576,0.5066856330014224,6,3,1,10,10,100,5,10,0,37.4,False
10,Gobierno Regional de Loreto,administrativo,False,2500.0,Motos_Staff,0.18,450.0,110.0,24.444444444444443,"No se declara una flota electrica historica medida. El dataset modela un escenario EV de tesis para Iquitos, derivado del tipo de edificio, vehiculo predominante, flujo diario, concurrencia y area EV-ready.","dimensionado por tipo de edificio, flujo EV de escenario, concurrencia y area EV-ready",25,8,15,1,1,4,0.5,0.7,0.65,0.466,0.577,0.822,0.7719298245614037,0.7421052631578947,2.844950213371266,12.5,5.6,9.75,0.5620614035087721,0.29973631578947363,2.8501066856330013,1,1,4,6,10,60,3,6,0,36.6,False
